idx,target_x,target_y,target_z,target_u,target_v,true_row,true_col,top1_row,top1_col,top1_grid_match,true_cell_objectness,top1_objectness,true_cell_error_m,top1_error_m,true_cell_pred_x,true_cell_pred_y,true_cell_pred_z,top1_pred_x,top1_pred_y,top1_pred_z
0,4.0,0.0,0.0,79.5,44.5,1,2,1,2,1,0.0009315662900917232,0.0009315662900917232,2.2973721027374268,2.2973721027374268,1.702966570854187,-0.03468408063054085,-0.018811050802469254,1.702966570854187,-0.03468408063054085,-0.018811050802469254
1,4.0,0.47999998927116394,0.0,69.9000015258789,44.5,1,2,1,2,1,0.00038301877793855965,0.00038301877793855965,2.4371721744537354,2.4371721744537354,1.6187670230865479,-0.03863779455423355,-0.02350020781159401,1.6187670230865479,-0.03863779455423355,-0.02350020781159401
2,4.0,-0.47999998927116394,0.0,89.0999984741211,44.5,1,2,1,2,1,0.017452474683523178,0.017452474683523178,2.5675265789031982,2.5675265789031982,1.4663112163543701,-0.06532841175794601,-0.025713136419653893,1.4663112163543701,-0.06532841175794601,-0.025713136419653893
3,4.0,0.0,0.3199999928474426,79.5,38.264617919921875,1,2,1,2,1,0.1351185441017151,0.1351185441017151,2.622246026992798,2.622246026992798,1.3916462659835815,-0.05163741484284401,0.0554271824657917,1.3916462659835815,-0.05163741484284401,0.0554271824657917
4,4.0,0.0,-0.3199999928474426,79.5,50.735382080078125,1,2,1,2,1,0.010469590313732624,0.010469590313732624,2.401416778564453,2.401416778564453,1.6142516136169434,-0.030479202046990395,-0.0478268638253212,1.6142516136169434,-0.030479202046990395,-0.0478268638253212
5,6.0,0.0,0.0,79.5,44.5,1,2,1,2,1,0.0006147894309833646,0.0006147894309833646,4.2769269943237305,4.2769269943237305,1.7232567071914673,-0.03512789309024811,-0.018318450078368187,1.7232567071914673,-0.03512789309024811,-0.018318450078368187
6,6.0,0.7200000286102295,0.0,69.9000015258789,44.5,1,2,1,2,1,0.00031683960696682334,0.00031683960696682334,4.443737030029297,4.443737030029297,1.6219688653945923,-0.04104528948664665,-0.0212099626660347,1.6219688653945923,-0.04104528948664665,-0.0212099626660347
7,6.0,-0.7200000286102295,0.0,89.0999984741211,44.5,1,2,1,2,1,0.008233075961470604,0.008233075961470604,4.557839393615723,4.557839393615723,1.489964485168457,-0.06222442165017128,-0.028455976396799088,1.489964485168457,-0.06222442165017128,-0.028455976396799088
8,6.0,0.0,0.47999998927116394,79.5,38.264617919921875,1,2,1,2,1,0.07319536060094833,0.07319536060094833,4.6145405769348145,4.6145405769348145,1.4052135944366455,-0.04908979311585426,0.05631300434470177,1.4052135944366455,-0.04908979311585426,0.05631300434470177
9,6.0,0.0,-0.47999998927116394,79.5,50.735382080078125,1,2,1,2,1,0.00633424986153841,0.00633424986153841,4.394775390625,4.394775390625,1.6266217231750488,-0.03251409903168678,-0.048080313950777054,1.6266217231750488,-0.03251409903168678,-0.048080313950777054
